error,numSignals,selectSignal,samples,doas,freqOrig,freqMVDR,freqOrigMag,freqMVDRMag
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.42042431238618, 27.214606488433198, 17.880883134419314]","[6.459288386368395, 0.6624577380056748, 12.02953218833724]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[56.72327487812972, 27.620165862990742, 22.977910892891163]","[6.311488813987699, 0.6590444528852538, 15.658167451262798]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.676023122174875, 27.302518590585596, 24.930602559487923]","[6.120590782201364, 0.6051575904048917, 17.43149393794822]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[56.66184711351795, 27.462510938952406, 25.12198462849125]","[6.140621396420818, 0.6173133152737454, 17.35961935150671]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.87849408714443, 27.47455672655738, 14.793827282296045]","[6.124678005061399, 0.6001256556624575, 10.40015533541051]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.60662972681005, 27.008687803121827, 23.34324310081368]","[6.408524884179788, 0.6688436752724289, 15.948417154843584]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[56.006694080355395, 26.43473890674075, 18.872999694355354]","[6.097704081317859, 0.6257309191685761, 13.152654209302055]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[56.12357536116966, 25.935710182781737, 25.638387736118172]","[6.011809057462051, 0.5897038819329322, 17.789149048341603]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[56.14605577983184, 26.15609711210326, 17.769997007418453]","[5.945712404440669, 0.6078892844286131, 12.370577200219817]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.18904190279878, 26.176923747203013, 25.252457967708764]","[6.061702765641585, 0.5207050115218507, 17.757939086511243]"
